club_id,name,city,full_address,gps_lat,gps_lng,website_url,naver_map_url,size,num_instructors,years_of_existence,owns_boat,tec_diving,freediving,estimated_price_per_dive_krw,languages_spoken,certifications,contact_methods,feedback
1,MJ Jeju Diving Club,Seogwipo,"1F R107, 119-1, Tae-pyeong-ro (Hogeun-dong), Seogwipo-si, Jeju-do",33.24451,126.53557,https://www.mjjejudivingclub.co.kr,https://naver.me/xgXZyOUl,small,2,,yes,no,no,80000,"English, Korean",PADI,email:gotahunch@gmail.com;mobile_phone:+82-10-4464-3216,
2,Nautilus Dive Jeju,Seogwipo,"693-7 Ieodo-ro, Gangjeong-dong, Seogwipo-si, Jeju-do",33.2350265,126.4896897,https://jejuscubadiving.com,https://map.naver.com/p/search/Nautilus%20Dive%20Jeju,medium,,,yes,no,no,,"English, Korean",PADI,mobile_phone:+82-10-8756-7856,
3,Sealife SCUBA Center / Dive Resort,Seogwipo,"775 Seogwi-dong (41 Budu-ro), Seogwipo-si, Jeju-do",,,http://sealifekorea.com,https://map.naver.com/p/search/Sealife%20Marine%20Sports,medium,2,34,yes,no,no,80000,"English, Korean","NAUI, PADI",,
4,BigBlue33 Diving Center,Seogwipo,"9, Soam-ro 12beon-gil, Seogwipo-si, Jeju-do",,,https://bigblue33dive.com,https://map.naver.com/p/search/BigBlue33%20Diving,small,,,yes,no,no,600000,"English, Korean",PADI,email:bigblue33dive@gmail.com,
5,DIVEMAP,Seogwipo,"2F, 9117 Iljudong-ro (Beophwan-dong), Seogwipo-si, Jeju-do",33.24692314,126.51877015,https://www.divemap.kr,https://map.naver.com/p/search/%EB%8B%A4%EC%9D%B4%EB%B8%8C%EB%A7%B5,medium,,,,,,,,PADI,email:hank@mhnet.co.kr;kakaotalk:http://pf.kakao.com/_QcMExl/chat,naver_blog::4:https://blog.naver.com/wiseoceans/224238013269
6,Good Diver,Seogwipo,"41 Jungsanganseo-ro (Gangjeong-dong), Seogwipo-si, Jeju-do",33.26108383,126.50605654,https://www.gooddiver.com,https://map.naver.com/p/search/%EA%B5%BF%EB%8B%A4%EC%9D%B4%EB%B2%84,medium,3,,no,no,no,60000,"English, Korean",PADI,email:gooddiver@naver.com,naver_blog::4:https://blog.naver.com/friedtomato_/224311631300
7,Mako Dive,Seogwipo,"133 Donghong-ro (Donghong-dong), Seogwipo-si, Jeju-do",33.26043215,126.56733157,https://makodive.imweb.me,https://map.naver.com/p/search/%EB%A7%88%EC%BD%94%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,3,,yes,yes,no,60000,"Chinese, Korean",PADI,email:makodive@naver.com;mobile_phone:+82-10-2370-8214,naver_blog::5:https://blog.naver.com/sora5517/223554829331
8,Seastar Dive,Seogwipo,"154 Seohohogeun-ro (Hogeun-dong), Seogwipo-si, Jeju-do",33.260991,126.524816,https://blog.naver.com/inst_haenjoo,https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EC%94%A8%EC%8A%A4%ED%83%80%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,3,,no,no,yes,,"English, Korean",PADI,email:herro12@naver.com;mobile_phone:+82-10-6255-0987,naver_blog::3:https://blog.naver.com/hi2547225/224314154551
9,My Town Diver Bros,Jeju City,"Rm 101, 1F, 330-1 Johamhaean-ro, Jocheon-eup (Sinheung-ri), Jeju-si, Jeju-do",33.54962357,126.6528513,https://jejumtdb-mo.imweb.me,https://map.naver.com/p/search/%EC%9A%B0%EB%A6%AC%EB%8F%99%EB%84%A4%EC%9E%A0%EC%88%98%ED%95%98%EB%8A%94%ED%98%95%EB%93%A4,medium,3,,no,no,no,,"English, Korean",PADI,email:lmw0556@naver.com;mobile_phone:+82-10-8382-0727,naver_blog::3:https://blog.naver.com/happybogus526/224280215587
10,Into Dive,Seogwipo,"1F, 169 Namseongjung-ro (Seohong-dong), Seogwipo-si, Jeju-do",33.24688119,126.55269986,https://www.intodive.com,https://map.naver.com/p/search/%EC%9D%B8%ED%88%AC%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,3,,yes,yes,yes,,Korean,PADI,email:diver7942@naver.com;mobile_phone:+82-10-3786-9249,kakao_map:5.0:1:https://place.map.kakao.com/637159505;naver_blog::4:https://blog.naver.com/okay_yuni/223925933703
11,Splash Diving Center,Seogwipo,"29 Topyeongnam-ro 30beon-gil (Topyeong-dong), Seogwipo-si, Jeju-do",33.26347385,126.59201943,https://splash-dive.com/jeju/,https://map.naver.com/p/search/%EC%8A%A4%ED%94%8C%EB%9E%98%EC%8B%9C%EB%8B%A4%EC%9D%B4%EB%B9%99%EC%84%BC%ED%84%B0,small,2,10,yes,yes,no,60000,"English, Korean",PADI,email:longstime@naver.com;mobile_phone:+82-10-6819-2511,naver_blog::3:https://blog.naver.com/meck-kkabi/223999450990
12,Bubble Tank,Seogwipo,"100 Chilsimni-ro (Seogwi-dong), Seogwipo-si, Jeju-do",33.24088261,126.56618433,https://www.bubbletank.co.kr,https://map.naver.com/p/search/%EB%B2%84%EB%B8%94%ED%83%B1%ED%81%AC,large,5,10,yes,yes,yes,60000,"English, Korean",PADI,email:bubbletank@naver.com;mobile_phone:+82-10-6575-8945,kakao_map:5.0:1:https://place.map.kakao.com/2012265465;naver_blog::4:https://blog.naver.com/jky8945/224142874783
13,Jeju Scuba School,Seogwipo,"68 Seohohogeun-ro 46beon-gil (Seoho-dong), Seogwipo-si, Jeju-do",33.24846926,126.52885056,https://jejuscubaschool.com,https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EC%8A%A4%EC%BF%A0%EB%B2%84%EC%8A%A4%EC%BF%A8,large,5,,no,yes,no,60000,"English, Korean",PADI,email:jejuscubaschool@naver.com;mobile_phone:+82-10-4506-4269,kakao_map:5.0:2:https://place.map.kakao.com/1994825891;naver_blog::4:https://scubadiving.tistory.com/8
14,Cozy Dive,Seogwipo,"1-3 Namseong-ro 128beon-gil (Seohong-dong), Seogwipo-si, Jeju-do",33.24236648,126.5543892,https://cozydive.imweb.me,https://map.naver.com/p/search/%EC%BD%94%EC%A7%80%EB%8B%A4%EC%9D%B4%EB%B8%8C,small,,,no,no,yes,70000,"English, Japanese, Korean",PADI,email:flownaru@naver.com;mobile_phone:+82-10-3302-3763,kakao_map:5.0:2:https://place.map.kakao.com/1261965184
